source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	factor value[condition]	factor value[time point]
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
t1h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT127	Q Exactive	NT=Trypsin;AC=MS:1001251	t1	t1h
t2h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT128	Q Exactive	NT=Trypsin;AC=MS:1001251	t2	t2h
t6h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT129	Q Exactive	NT=Trypsin;AC=MS:1001251	t6	t6h
t24h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT130	Q Exactive	NT=Trypsin;AC=MS:1001251	t24	t24h
t120h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F01	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	1	1	TMT131	Q Exactive	NT=Trypsin;AC=MS:1001251	t120	t120h
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
t1h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT127	Q Exactive	NT=Trypsin;AC=MS:1001251	t1	t1h
t2h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT128	Q Exactive	NT=Trypsin;AC=MS:1001251	t2	t2h
t6h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT129	Q Exactive	NT=Trypsin;AC=MS:1001251	t6	t6h
t24h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT130	Q Exactive	NT=Trypsin;AC=MS:1001251	t24	t24h
t120h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F02	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F02.mzML	2	1	TMT131	Q Exactive	NT=Trypsin;AC=MS:1001251	t120	t120h
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
t1h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT127	Q Exactive	NT=Trypsin;AC=MS:1001251	t1	t1h
t2h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT128	Q Exactive	NT=Trypsin;AC=MS:1001251	t2	t2h
t6h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT129	Q Exactive	NT=Trypsin;AC=MS:1001251	t6	t6h
t24h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT130	Q Exactive	NT=Trypsin;AC=MS:1001251	t24	t24h
t120h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F03	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F03.mzML	3	1	TMT131	Q Exactive	NT=Trypsin;AC=MS:1001251	t120	t120h
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
t1h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT127	Q Exactive	NT=Trypsin;AC=MS:1001251	t1	t1h
t2h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT128	Q Exactive	NT=Trypsin;AC=MS:1001251	t2	t2h
t6h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT129	Q Exactive	NT=Trypsin;AC=MS:1001251	t6	t6h
t24h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT130	Q Exactive	NT=Trypsin;AC=MS:1001251	t24	t24h
t120h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F04	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F04.mzML	4	1	TMT131	Q Exactive	NT=Trypsin;AC=MS:1001251	t120	t120h
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
t1h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT127	Q Exactive	NT=Trypsin;AC=MS:1001251	t1	t1h
t2h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT128	Q Exactive	NT=Trypsin;AC=MS:1001251	t2	t2h
t6h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT129	Q Exactive	NT=Trypsin;AC=MS:1001251	t6	t6h
t24h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT130	Q Exactive	NT=Trypsin;AC=MS:1001251	t24	t24h
t120h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F05	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F05.mzML	5	1	TMT131	Q Exactive	NT=Trypsin;AC=MS:1001251	t120	t120h
t0h	Homo sapiens	not available	not available	1	MSK_CD4_TMT_TP_Set1_bRPLC_F06	proteomic profiling by mass spectrometry	PXD013361	data-dependent acquisition	MSK_CD4_TMT_TP_Set1_bRPLC_F06.mzML	6	1	TMT126	Q Exactive	NT=Trypsin;AC=MS:1001251	t0	t0h
