set	channel	sample_name	condition
S1	126	E01_1_PRE_1	PRE
S1	127N	E01_2_POST_1	POST
S1	127C	E01_3_PRE_2	PRE
S1	128N	E01_4_POST_2	POST
S1	128C	E01_5_PRE_3	PRE
S1	129N	E01_6_POST_3	POST
S1	129C	E01_7_W12_1	W12
S1	130N	E02_1_PRE_1	PRE
S1	130C	E02_2_POST_1	POST
S1	131N	E02_3_PRE_2	PRE
S1	131C	E02_4_POST_2	POST
S1	132N	POOLED1	POOLED
S1	132C	BLANK1	BLANK
S1	133N	BLANK2	BLANK
S1	133C	BLANK3	BLANK
S1	134N	BLANK4	BLANK
S2	126	E02_5_PRE_3	PRE
S2	127N	E02_6_POST_3	POST
S2	127C	E02_7_W12_1	W12
S2	128N	E03_1_PRE_1	PRE
S2	128C	E03_2_POST_1	POST
S2	129N	E03_3_PRE_2	PRE
S2	129C	E03_4_POST_2	POST
S2	130N	E04_1_PRE_1	PRE
S2	130C	E04_2_POST_1	POST
S2	131N	E04_3_PRE_2	PRE
S2	131C	E04_4_POST_2	POST
S2	132N	POOLED2	POOLED
S2	132C	BLANK5	BLANK
S2	133N	BLANK6	BLANK
S2	133C	BLANK7	BLANK
S2	134N	BLANK8	BLANK
