filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=16829	0.43351197	8241054.0	11787851.0	4206544.5	9893112.0	5990688.5	10280525.0	5309990.0	2282092.2	9727544.0	2779517.2	11501220.0	5799005.5	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=17109	22.0	293140.3	194626.4	142491.61	175084.55	200592.14	136288.12	214987.92	87992.22	234005.38	121539.586	227862.67	238493.56	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=18048	21.042957	466941.62	749920.0	171411.52	215327.84	247529.05	136076.05	288962.25	113409.305	703286.56	158979.27	344858.75	559047.4	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=18989	22.0	782262.3	208285.81	205042.88	110672.51	558431.2	122598.35	327422.03	141233.17	386509.84	131085.3	211336.22	58005.242	10901.977	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=21167	22.0	158135.42	926933.06	47919.324	2902247.0	69262.33	2362911.2	58739.176	150268.39	986274.25	44842.43	788445.56	34383.66	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=21312	10.58048	1730861.9	1109348.9	951542.1	1215911.5	1182318.2	966257.8	1274456.4	690655.44	919235.06	665088.6	914512.1	822402.9	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=21503	22.0	1378502.6	599728.2	528478.75	516560.9	428202.94	256875.17	563442.94	157967.34	470936.25	280019.7	592773.75	1181758.4	0.0	28645.074	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=22089	22.0	129240.42	523925.7	31196.154	784354.4	39962.41	616404.4	51272.934	47841.316	576501.4	26847.895	332511.94	35255.22	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=22403	22.0	390910.75	161625.45	200536.38	282420.56	202676.53	186848.8	281259.8	124867.94	153735.52	125570.75	172692.53	278152.97	12803.736	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23214	11.18615	1034751.5	515581.25	626731.1	758079.25	597388.44	442029.34	841452.06	345332.22	417701.47	376002.72	522923.94	684656.0	0.0	0.0	0.0	0.0
B10001SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23907	22.0	170066.47	106214.36	89156.055	105583.62	75811.445	76529.27	94516.43	44532.754	68949.66	49997.36	54895.18	97016.82	0.0	0.0	0.0	0.0
