set,sample_id,sample,cell,condition,sample_rna
S1,nanoSPLITs_C10_Chip2_Ctrl_A1,Ctrl_A1,Ctrl,A1,
S1,nanoSPLITs_C10_Chip2_Ctrl_A2,Ctrl_A2,Ctrl,A2,
S1,nanoSPLITs_C10_Chip2_1cell_A3,1cell_A3,1cell,A3,
S1,nanoSPLITs_C10_Chip2_1cell_A4,1cell_A4,1cell,A4,
S1,nanoSPLITs_C10_Chip2_1cell_A5,1cell_A5,1cell,A5,
S1,nanoSPLITs_C10_Chip2_1cell_A6,1cell_A6,1cell,A6,
S1,nanoSPLITs_C10_Chip2_3cells_A7,3cells_A7,3cells,A7,
S1,nanoSPLITs_C10_Chip2_3cells_A8,3cells_A8,3cells,A8,
S1,nanoSPLITs_C10_Chip2_3cells_A9,3cells_A9,3cells,A9,
S1,nanoSPLITs_C10_Chip2_11cells_A10,11cells_A10,11cells,A10,
S1,nanoSPLITs_C10_Chip2_11cells_A11,11cells_A11,11cells,A11,
S1,nanoSPLITs_C10_Chip2_11cells_A12,11cells_A12,11cells,A12,
S1,nanoSPLITs_C10_Chip2_Ctrl_B1,Ctrl_B1,Ctrl,B1,
S1,nanoSPLITs_C10_Chip2_Ctrl_B2,Ctrl_B2,Ctrl,B2,
S1,nanoSPLITs_C10_Chip2_1cell_B3,1cell_B3,1cell,B3,
S1,nanoSPLITs_C10_Chip2_1cell_B4,1cell_B4,1cell,B4,
S1,nanoSPLITs_C10_Chip2_1cell_B5,1cell_B5,1cell,B5,
S1,nanoSPLITs_C10_Chip2_1cell_B6,1cell_B6,1cell,B6,
S1,nanoSPLITs_C10_Chip2_3cells_B7,3cells_B7,3cells,B7,
S1,nanoSPLITs_C10_Chip2_3cells_B8,3cells_B8,3cells,B8,
S1,nanoSPLITs_C10_Chip2_3cells_B9,3cells_B9,3cells,B9,
S1,nanoSPLITs_C10_Chip2_11cells_B10,11cells_B10,11cells,A10,
S1,nanoSPLITs_C10_Chip2_11cells_B11,11cells_B11,11cells,A11,
S1,nanoSPLITs_C10_Chip2_11cells_B12,11cells_B12,11cells,A12,
S1,nanoSPLITs_SVECLibrary_211001J_CV1_R2_A4,CV1_R2_A4,CV1_R2,A4,
S1,nanoSPLITs_SVECLibrary_211001J_CV2_R2_A5,CV2_R2_A5,CV2_R2,A5,
S1,nanoSPLITs_SVECLibrary_211001J_CV3_R2_A6,CV3_R2_A6,CV3_R2,A6,
S1,nanoSPLITs_SVECLibrary_211001J_CV1_R1_B4,CV1_R1_B4,CV1_R1,B4,
S1,nanoSPLITs_SVECLibrary_211001J_CV2_R1_B5,CV2_R1_B5,CV2_R1,B5,
S1,nanoSPLITs_SVECLibrary_211001J_CV3_R1_B6,CV3_R1_B6,CV3_R1,B6,
S1,nanoSPLITs_C10Library_211001J_CV1_R2_C4,CV1_R2_C4,CV1_R2,C4,
S1,nanoSPLITs_C10Library_211001J_CV2_R2_C5,CV2_R2_C5,CV2_R2,C5,
S1,nanoSPLITs_C10Library_211001J_CV3_R2_C6,CV3_R2_C6,CV3_R2,C6,
S1,nanoSPLITs_C10Library_211001J_CV1_R1_D4,CV1_R1_D4,CV1_R1,D4,
S1,nanoSPLITs_C10Library_211001J_CV2_R1_D5,CV2_R1_D5,CV2_R1,D5,
S1,nanoSPLITs_C10Library_211001J_CV3_R1_D6,CV3_R1_D6,CV3_R1,D6,
S1,nanoSPLITs_C10_211005J_1cell_A2,C10_A2,C10,A2,43C10
S1,nanoSPLITs_C10_211005J_1cell_A3,C10_A3,C10,A3,38C10
S1,nanoSPLITs_C10_211005J_1cell_A4,C10_A4,C10,A4,44C10
S1,nanoSPLITs_C10_211005J_1cell_A5,C10_A5,C10,A5,39C10
S1,nanoSPLITs_C10_211005J_1cell_A6,C10_A6,C10,A6,45C10
S1,nanoSPLITs_C10_211005J_1cell_A7,C10_A7,C10,A7,40C10
S1,nanoSPLITs_C10_211005J_1cell_A8,C10_A8,C10,A8,46C10
S1,nanoSPLITs_C10_211005J_1cell_A9,C10_A9,C10,A9,41C10
S1,nanoSPLITs_C10_211005J_1cell_A10,C10_A10,C10,A10,47C10
S1,nanoSPLITs_C10_211005J_1cell_A11,C10_A11,C10,A11,42C10
S1,nanoSPLITs_C10_211005J_1cell_B1,C10_B1,C10,B1,25C10
S1,nanoSPLITs_C10_211005J_1cell_B2,C10_B2,C10,B2,31C10
S1,nanoSPLITs_C10_211005J_1cell_B3,C10_B3,C10,B3,26C10
